dt,base_byers_price_index,key_rate,dollar_rate
2018-08-06,,7.25,
2018-08-07,,7.25,63.4975
2018-08-08,,7.25,63.5425
2018-08-09,,7.25,63.595
2018-08-10,,7.25,66.2856
2018-08-11,,,66.9075
2018-08-13,,7.25,
2018-08-14,,7.25,68.2234
2018-08-15,,7.25,66.7535
2018-08-16,,7.25,66.3772
2018-08-17,,7.25,66.8932
2018-08-18,,,66.8757
2018-08-20,,7.25,
2018-08-21,,7.25,67.1807
2018-08-22,,7.25,67.1783
2018-08-23,,7.25,67.6163
2018-08-24,,7.25,68.5259
2018-08-25,,,67.7911
2018-08-27,,7.25,
2018-08-28,,7.25,67.3963
2018-08-29,,7.25,67.3911
2018-08-30,,7.25,68.1451
2018-08-31,,7.25,68.0821
2018-09-01,,,68.0447
2018-09-03,,7.25,
2018-09-04,,7.25,67.7443
2018-09-05,,7.25,68.2737
2018-09-06,,7.25,68.4628
2018-09-07,,7.25,68.2505
2018-09-08,,,69.0286
2018-09-10,,7.25,
2018-09-11,,7.25,69.8685
2018-09-12,,7.25,69.9744
2018-09-13,,7.25,69.5728
2018-09-14,,7.25,68.637
2018-09-15,,,68.2826
2018-09-17,,7.5,
2018-09-18,,7.5,68.1958
2018-09-19,,7.5,67.7519
2018-09-20,,7.5,67.0098
2018-09-21,,7.5,66.4725
2018-09-22,,,66.2497
2018-09-24,,7.5,
2018-09-25,,7.5,66.1594
2018-09-26,,7.5,65.8244
2018-09-27,,7.5,65.7585
2018-09-28,,7.5,65.8355
2018-09-29,,,65.5906
2018-09-30,,,
2018-10-01,,7.5,
2018-10-02,,7.5,65.5745
2018-10-03,,7.5,65.2221
2018-10-04,,7.5,65.4244
2018-10-05,,7.5,66.2115
2018-10-06,,,66.627
2018-10-08,,7.5,
2018-10-09,,7.5,66.9685
2018-10-10,,7.5,66.4032
2018-10-11,,7.5,66.1832
2018-10-12,,7.5,66.7727
2018-10-13,,,65.9751
2018-10-15,,7.5,
2018-10-16,,7.5,65.7508
2018-10-17,,7.5,65.5305
2018-10-18,,7.5,65.4026
2018-10-19,,7.5,65.7238
2018-10-20,,,65.814
2018-10-22,,7.5,
2018-10-23,,7.5,65.3065
2018-10-24,,7.5,65.3101
2018-10-25,,7.5,65.6299
2018-10-26,,7.5,65.7476
2018-10-27,,,65.6345
2018-10-29,,7.5,
2018-10-30,,7.5,65.8129
2018-10-31,,7.5,65.7742
2018-11-01,,7.5,65.5962
2018-11-02,,7.5,65.6517
2018-11-03,,,65.5799
2018-11-06,,7.5,
2018-11-07,,7.5,65.9912
2018-11-08,,7.5,66.0918
2018-11-09,,7.5,66.2155
2018-11-10,,,66.8497
2018-11-12,,7.5,
2018-11-13,,7.5,67.5238
2018-11-14,,7.5,67.6812
2018-11-15,,7.5,67.9975
2018-11-16,,7.5,66.6159
2018-11-17,,,65.9931
2018-11-19,,7.5,
2018-11-20,,7.5,66.0081
2018-11-21,,7.5,65.5871
2018-11-22,,7.5,65.9485
2018-11-23,,7.5,65.6067
2018-11-24,,,65.6664
2018-11-26,,7.5,
2018-11-27,,7.5,66.5072
2018-11-28,,7.5,66.78
2018-11-29,,7.5,66.9436
2018-11-30,,7.5,66.6342
2018-12-01,,,66.5335
2018-12-03,,7.5,
2018-12-04,,7.5,66.2921
2018-12-05,,7.5,66.4467
